date,ticker,name,sector,P,V,F,G,D,Q,total,veto,dd52,r1y,rg,pg
2022-05-05,600879.SH,航天电子,space,26,24.238604557674655,7.625,15.000000000000002,9,5,86.86360455767466,False,0.3256366547017463,-0.17398078580153675,0.13577845899254615,0.029828251360002778
2022-05-05,300762.SZ,上海瀚讯,space,26,22.578281273570653,7.375,15.000000000000002,9,5,84.95328127357065,False,0.555527251981021,-0.41338270940520605,0.029738330587828044,0.1389778909682089
2022-05-05,003816.SZ,中国广核,nuclear,26,20.93117316140463,5.0,15.0,10,5,81.93117316140463,False,0.19142986914569604,0.04566858608586277,0.09084133238422498,-0.018647419136081367
2022-05-05,601985.SH,中国核电,nuclear,26,17.205047280605765,14.0,0.0,10,5,72.20504728060577,False,0.15621323972652723,0.3740930369195621,0.18635455993579475,0.35434205967201393
2022-05-05,601611.SH,中国核建,nuclear,26,20.971428929010443,3.0,0.0,10,5,64.97142892901044,False,0.29732051279447236,-0.048312157035195535,0.02592219953810404,-0.07261576609756559
2022-05-05,600893.SH,航发动力,defense,26,20.880491893699045,11.375,14.999999999999998,9,5,87.25549189369904,False,0.4480621062563628,-0.09511190370944589,0.1790535859065816,0.08540646801331464
2022-05-05,600760.SH,中航沈飞,defense,26,22.03522920173026,14.0,14.999999999999998,9,5,91.03522920173026,False,0.3912671475264896,0.11648226727149624,0.24389212167544216,0.38162950247254623
2022-05-05,002179.SZ,中航光电,defense,26,20.920812282361425,7.625,14.999999999999998,9,5,83.54581228236142,False,0.2673920630496418,0.007557484748708765,0.08201142353531599,0.04801371164456825
2022-06-01,300124.SZ,汇川技术,robotics,30,22.838699282158213,15.0,15.000000000000002,8,5,95.83869928215822,False,0.3007084161883299,0.03634095287838601,0.44349095048084,0.4159385681130239
2022-06-01,002747.SZ,埃斯顿,robotics,30,21.243261500079605,7.625,15.000000000000002,8,5,86.86826150007961,False,0.59661189083089,-0.44088913848129463,0.09329525490241397,0.017598538484010717
2022-06-01,002472.SZ,双环传动,robotics,30,16.767620646786956,15.0,15.000000000000002,8,5,89.76762064678695,False,0.22153193915568314,1.0425747547534057,0.37827276125000475,2.12146058333189
2022-06-01,603986.SH,兆易创新,memory,28,24.360979742164254,15.0,15.0,6,5,93.36097974216426,False,0.3756168745600683,0.16639450039920933,0.7252960790406162,1.6836035790648265
2022-06-01,300223.SZ,北京君正,memory,28,21.773429623143592,15.0,15.0,6,5,90.77342962314358,False,0.5152192393276553,0.4935886837372254,0.7668256281287207,4.728202505835757
2022-06-01,000021.SZ,深科技,memory,28,23.652188293295602,5.0,0.0,6,5,67.65218829329561,False,0.4268529683049208,-0.3696552033993403,0.05436674383319051,-0.16230533237927391
2022-06-01,603259.SH,药明康德,biotech,26,24.37233280416764,14.125,15.0,10,5,94.49733280416764,False,0.4326806767439215,-0.28849977436051844,0.44418581988498285,0.26059548205515215
2022-06-01,600276.SH,恒瑞医药,biotech,26,20.82118696391032,0.0,15.0,10,5,76.82118696391032,True,0.5846585552123935,-0.5745979072106835,-0.16068158172370095,-0.3439407106273601
2022-06-01,688235.SH,百济神州,biotech,26,18.910426018637825,6.0,15.0,10,5,80.91042601863782,False,0.4512315375953989,-0.4477546667443517,,
2022-06-01,300454.SZ,深信服,cyber,26,21.129312972513613,9.8,14.999999999999998,9,5,85.92931297251361,False,0.6916631786931533,-0.6687858996605966,0.15405554511585895,
2022-06-01,688561.SH,奇安信,cyber,26,21.578899034455365,10.8,14.999999999999998,9,5,87.37889903445536,False,0.6086646375533712,-0.47146084210757566,0.3690214768853337,
2022-06-01,002439.SZ,启明星辰,cyber,26,23.04567527077817,7.625,14.999999999999998,9,5,85.67067527077816,False,0.501651430974468,-0.4160738479362457,0.13300855759810304,0.03894360351591408
2022-06-01,300308.SZ,中际旭创,cpo,30,23.212358385202975,11.375,15.0,4,5,88.58735838520298,False,0.26419116498077866,-0.08782296419567615,0.15522120902148617,0.1378058536334077
2022-06-01,300502.SZ,新易盛,cpo,30,23.62191194944397,13.125,15.0,4,5,90.74691194944397,False,0.4666720785135865,-0.1121365821306195,0.2849627399973036,0.244538561057847
2022-06-01,002281.SZ,光迅科技,cpo,30,24.12393736263013,0.0,0.0,4,5,63.12393736263013,False,0.4286218161453911,-0.29483596673314183,-0.01976055611575822,-0.07338146643981636
2022-06-01,600406.SH,国电南瑞,grid,26,15.011026451522746,11.125,15.000000000000002,8,5,80.13602645152275,False,0.2450888994478072,0.42371379510507445,0.09346544376035903,0.16943347263010944
2022-06-01,600089.SH,特变电工,grid,26,18.439622086422347,15.0,15.000000000000002,8,5,87.43962208642235,False,0.21956358321268143,0.9093361146319305,0.510008503015253,0.9685324167918254
2022-06-01,000400.SZ,许继电气,grid,26,18.111437002221805,3.0,15.000000000000002,8,5,75.1114370022218,False,0.3901815009094659,0.4799400127869202,0.045982618395173924,-0.023427608123072097
2022-06-01,600118.SH,中国卫星,space,26,18.669402923253298,0.0,15.000000000000002,9,5,73.6694029232533,False,0.33738702772051865,-0.3146304171370601,-0.020573113625743544,-0.37720610604863003
2022-06-01,600879.SH,航天电子,space,26,23.001043797526933,7.625,15.000000000000002,9,5,85.62604379752693,False,0.24134149315475495,-0.08496708569808853,0.13587926182513055,0.02982905647328926
2022-06-01,300762.SZ,上海瀚讯,space,26,22.815916952607893,7.375,15.000000000000002,9,5,85.19091695260789,False,0.5135322260689812,-0.3567633873983409,0.029732493507421687,0.1389796154855123
2022-06-01,003816.SZ,中国广核,nuclear,26,21.144357057114853,5.0,15.0,10,5,82.14435705711486,False,0.2000027160207638,0.038304107665992904,0.09088833422414089,-0.018651822579904054
2022-06-01,601985.SH,中国核电,nuclear,26,15.963728680141148,14.0,0.0,10,5,70.96372868014114,False,0.14082990216736246,0.3887233925324436,0.1863502049005501,0.35435025446565094
2022-06-01,601611.SH,中国核建,nuclear,26,20.730298291849852,7.625,0.0,10,5,69.35529829184985,False,0.24107106629838726,0.14451610437476403,0.08651449342881667,0.03525574081643201
2022-06-01,600893.SH,航发动力,defense,26,20.927633577043522,11.375,14.999999999999998,9,5,87.30263357704352,False,0.4224951109280223,-0.09617281378401532,0.2363918239711844,0.11450459278580971
2022-06-01,600760.SH,中航沈飞,defense,26,20.513991156841467,15.0,14.999999999999998,9,5,90.51399115684147,False,0.3139420710106071,0.0826610327263908,0.31739248527376773,0.5171022298021635
2022-06-01,002179.SZ,中航光电,defense,26,19.41726169633862,9.375,14.999999999999998,9,5,83.79226169633861,False,0.19684114016432286,0.10137689170802222,0.1307973345085751,0.10749100069752737
2022-07-01,300124.SZ,汇川技术,robotics,30,21.769484447670457,15.0,15.000000000000002,8,5,94.76948444767046,False,0.24444429883006413,0.06842018022959762,0.4434760728800473,0.41593766712226965
2022-07-01,002747.SZ,埃斯顿,robotics,30,22.04848202184248,7.625,15.000000000000002,8,5,87.67348202184249,False,0.4132410548180193,-0.2821845571681877,0.09328812957658128,0.017599077173301003
